ranking,sport,Boulders
952,9 902,8 650
953,9 900,8 650
954,9 899,8 650
955,9 899,8 650
956,9 898,8 650
957,9 897,8 650
958,9 895,8 648
959,9 892,8 642
960,9 890,8 639
961,9 888,8 636
962,9 887,8 635
963,9 887,8 620
964,9 887,8 619
965,9 886,8 615
966,9 885,8 610
967,9 882,8 607
968,9 881,8 606
969,9 878,8 606
970,9 877,8 606
971,9 877,8 603
972,9 877,8 603
973,9 875,8 603
974,9 873,8 603
975,9 870,8 603
976,9 866,8 603
977,9 862,8 600
978,9 859,8 600
979,9 855,8 600
980,9 854,8 600
981,9 854,8 599
982,9 853,8 590
983,9 853,8 570
984,9 850,8 566
985,9 850,8 565
986,9 850,8 559
987,9 849,8 558
988,9 848,8 558
989,9 847,8 556
990,9 847,8 556
991,9 847,8 556
992,9 847,8 556
993,9 847,8 556
994,9 846,8 554
995,9 845,8 553
996,9 845,8 553
997,9 843,8 552
998,9 842,8 552
999,9 842,8 552
1000,9 842,8 551
